timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1538058548948,11,HTTP Request,200,,UserRest - Stress test 3-100,text,true,,304,141,1,17,http://10.0.10.10:9966/petclinic/api/pettypes,11,0,1
1538058548964,9,HTTP Request,200,,UserRest - Stress test 3-100,text,true,,304,141,1,17,http://10.0.10.10:9966/petclinic/api/pettypes,9,0,1
1538058548973,7,HTTP Request,200,,UserRest - Stress test 3-100,text,true,,304,141,1,18,http://10.0.10.10:9966/petclinic/api/pettypes,7,0,0
1538058548980,5,HTTP Request,200,,UserRest - Stress test 3-100,text,true,,304,141,1,18,http://10.0.10.10:9966/petclinic/api/pettypes,5,0,0
1538058548985,7,HTTP Request,200,,UserRest - Stress test 3-100,text,true,,304,141,1,18,http://10.0.10.10:9966/petclinic/api/pettypes,7,0,0
1538058548992,6,HTTP Request,200,,UserRest - Stress test 3-100,text,true,,304,141,1,19,http://10.0.10.10:9966/petclinic/api/pettypes,6,0,1
1538058548998,9,HTTP Request,200,,UserRest - Stress test 3-100,text,true,,304,141,1,19,http://10.0.10.10:9966/petclinic/api/pettypes,9,0,1
1538058549007,6,HTTP Request,200,,UserRest - Stress test 3-100,text,true,,304,141,1,19,http://10.0.10.10:9966/petclinic/api/pettypes,6,0,1
1538058549013,7,HTTP Request,200,,UserRest - Stress test 3-100,text,true,,304,141,1,20,http://10.0.10.10:9966/petclinic/api/pettypes,7,0,1
1538058549020,5,HTTP Request,200,,UserRest - Stress test 3-100,text,true,,304,141,1,20,http://10.0.10.10:9966/petclinic/api/pettypes,5,0,1
1538058549025,7,HTTP Request,200,,UserRest - Stress test 3-100,text,true,,304,141,1,20,http://10.0.10.10:9966/petclinic/api/pettypes,7,0,1
1538058549032,21,HTTP Request,200,,UserRest - Stress test 3-100,text,true,,304,141,1,21,http://10.0.10.10:9966/petclinic/api/pettypes,21,0,1
1538058549053,15,HTTP Request,200,,UserRest - Stress test 3-100,text,true,,304,141,1,22,http://10.0.10.10:9966/petclinic/api/pettypes,15,0,1
1538058549068,10,HTTP Request,200,,UserRest - Stress test 3-100,text,true,,304,141,1,23,http://10.0.10.10:9966/petclinic/api/pettypes,10,0,1
1538058549078,4,HTTP Request,200,,UserRest - Stress test 3-100,text,true,,304,141,1,23,http://10.0.10.10:9966/petclinic/api/pettypes,4,0,1
1538058549082,16,HTTP Request,200,,UserRest - Stress test 3-100,text,true,,304,141,1,24,http://10.0.10.10:9966/petclinic/api/pettypes,16,0,0
1538058549098,5,HTTP Request,200,,UserRest - Stress test 3-100,text,true,,304,141,1,24,http://10.0.10.10:9966/petclinic/api/pettypes,5,0,1
1538058549103,10,HTTP Request,200,,UserRest - Stress test 3-100,text,true,,304,141,1,24,http://10.0.10.10:9966/petclinic/api/pettypes,10,0,1
1538058549114,7,HTTP Request,200,,UserRest - Stress test 3-100,text,true,,304,141,1,25,http://10.0.10.10:9966/petclinic/api/pettypes,7,0,0
1538058549121,6,HTTP Request,200,,UserRest - Stress test 3-100,text,true,,304,141,1,25,http://10.0.10.10:9966/petclinic/api/pettypes,5,0,1
1538058549127,8,HTTP Request,200,,UserRest - Stress test 3-100,text,true,,304,141,1,25,http://10.0.10.10:9966/petclinic/api/pettypes,8,0,1
1538058549135,6,HTTP Request,200,,UserRest - Stress test 3-100,text,true,,304,141,1,26,http://10.0.10.10:9966/petclinic/api/pettypes,6,0,0
1538058549141,24,HTTP Request,200,,UserRest - Stress test 3-100,text,true,,304,141,1,27,http://10.0.10.10:9966/petclinic/api/pettypes,24,0,0
1538058549165,8,HTTP Request,200,,UserRest - Stress test 3-100,text,true,,304,141,1,27,http://10.0.10.10:9966/petclinic/api/pettypes,7,0,0
1538058549173,10,HTTP Request,200,,UserRest - Stress test 3-100,text,true,,304,141,1,28,http://10.0.10.10:9966/petclinic/api/pettypes,10,0,1
1538058549183,11,HTTP Request,200,,UserRest - Stress test 3-100,text,true,,304,141,1,28,http://10.0.10.10:9966/petclinic/api/pettypes,11,0,1
1538058549194,14,HTTP Request,200,,UserRest - Stress test 3-100,text,true,,304,141,1,29,http://10.0.10.10:9966/petclinic/api/pettypes,14,0,0
1538058549208,22,HTTP Request,200,,UserRest - Stress test 3-100,text,true,,304,141,1,30,http://10.0.10.10:9966/petclinic/api/pettypes,22,0,1
1538058549230,45,HTTP Request,200,,UserRest - Stress test 3-100,text,true,,304,141,2,33,http://10.0.10.10:9966/petclinic/api/pettypes,45,0,1
1538058549248,40,HTTP Request,200,,UserRest - Stress test 3-99,text,true,,304,141,2,34,http://10.0.10.10:9966/petclinic/api/pettypes,40,0,0
1538058549275,27,HTTP Request,200,,UserRest - Stress test 3-100,text,true,,304,141,2,35,http://10.0.10.10:9966/petclinic/api/pettypes,26,0,1
1538058549288,18,HTTP Request,200,,UserRest - Stress test 3-99,text,true,,304,141,2,35,http://10.0.10.10:9966/petclinic/api/pettypes,18,0,0
1538058549302,10,HTTP Request,200,,UserRest - Stress test 3-100,text,true,,304,141,2,35,http://10.0.10.10:9966/petclinic/api/pettypes,10,0,0
1538058549306,9,HTTP Request,200,,UserRest - Stress test 3-99,text,true,,304,141,2,35,http://10.0.10.10:9966/petclinic/api/pettypes,9,0,1
1538058549312,18,HTTP Request,200,,UserRest - Stress test 3-100,text,true,,304,141,2,36,http://10.0.10.10:9966/petclinic/api/pettypes,18,0,1
1538058549330,24,HTTP Request,200,,UserRest - Stress test 3-100,text,true,,304,141,2,37,http://10.0.10.10:9966/petclinic/api/pettypes,24,0,1
1538058549315,76,HTTP Request,200,,UserRest - Stress test 3-99,text,true,,304,141,2,39,http://10.0.10.10:9966/petclinic/api/pettypes,25,0,1
1538058549354,55,HTTP Request,200,,UserRest - Stress test 3-100,text,true,,304,141,2,40,http://10.0.10.10:9966/petclinic/api/pettypes,30,0,1
1538058549409,17,HTTP Request,200,,UserRest - Stress test 3-100,text,true,,304,141,2,41,http://10.0.10.10:9966/petclinic/api/pettypes,17,0,0
1538058549391,40,HTTP Request,200,,UserRest - Stress test 3-99,text,true,,304,141,2,41,http://10.0.10.10:9966/petclinic/api/pettypes,40,0,2
1538058549431,17,HTTP Request,200,,UserRest - Stress test 3-99,text,true,,304,141,2,42,http://10.0.10.10:9966/petclinic/api/pettypes,17,0,1
1538058549426,25,HTTP Request,200,,UserRest - Stress test 3-100,text,true,,304,141,2,42,http://10.0.10.10:9966/petclinic/api/pettypes,24,0,0
1538058549448,24,HTTP Request,200,,UserRest - Stress test 3-99,text,true,,304,141,2,43,http://10.0.10.10:9966/petclinic/api/pettypes,24,0,1
1538058549472,38,HTTP Request,200,,UserRest - Stress test 3-99,text,true,,304,141,2,45,http://10.0.10.10:9966/petclinic/api/pettypes,38,0,1
1538058549451,63,HTTP Request,200,,UserRest - Stress test 3-100,text,true,,304,141,2,45,http://10.0.10.10:9966/petclinic/api/pettypes,63,0,0
1538058549548,12,HTTP Request,200,,UserRest - Stress test 3-98,text,true,,304,141,3,49,http://10.0.10.10:9966/petclinic/api/pettypes,12,0,1
