timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1538059252799,11,HTTP Request,200,,UserRest - Load test 1-100,text,true,,1203,139,1,1,http://10.0.10.10:9966/petclinic/api/visits,11,0,0
1538059252814,2,HTTP Request,200,,UserRest - Load test 1-100,text,true,,1203,139,1,1,http://10.0.10.10:9966/petclinic/api/visits,2,0,1
1538059252816,2,HTTP Request,200,,UserRest - Load test 1-100,text,true,,1203,139,1,1,http://10.0.10.10:9966/petclinic/api/visits,1,0,1
1538059252818,1,HTTP Request,200,,UserRest - Load test 1-100,text,true,,1203,139,2,2,http://10.0.10.10:9966/petclinic/api/visits,1,0,0
1538059252818,3,HTTP Request,200,,UserRest - Load test 1-99,text,true,,1203,139,2,2,http://10.0.10.10:9966/petclinic/api/visits,2,0,0
1538059252819,3,HTTP Request,200,,UserRest - Load test 1-100,text,true,,1203,139,2,2,http://10.0.10.10:9966/petclinic/api/visits,2,0,1
1538059252821,2,HTTP Request,200,,UserRest - Load test 1-99,text,true,,1203,139,2,2,http://10.0.10.10:9966/petclinic/api/visits,2,0,0
1538059252822,2,HTTP Request,200,,UserRest - Load test 1-100,text,true,,1203,139,2,2,http://10.0.10.10:9966/petclinic/api/visits,2,0,0
1538059252823,2,HTTP Request,200,,UserRest - Load test 1-99,text,true,,1203,139,2,2,http://10.0.10.10:9966/petclinic/api/visits,2,0,0
1538059252824,2,HTTP Request,200,,UserRest - Load test 1-100,text,true,,1203,139,2,2,http://10.0.10.10:9966/petclinic/api/visits,2,0,0
1538059252825,2,HTTP Request,200,,UserRest - Load test 1-99,text,true,,1203,139,2,2,http://10.0.10.10:9966/petclinic/api/visits,2,0,0
1538059252826,1,HTTP Request,200,,UserRest - Load test 1-100,text,true,,1203,139,2,2,http://10.0.10.10:9966/petclinic/api/visits,1,0,0
1538059252827,9,HTTP Request,200,,UserRest - Load test 1-99,text,true,,1203,139,2,2,http://10.0.10.10:9966/petclinic/api/visits,9,0,0
1538059252827,10,HTTP Request,200,,UserRest - Load test 1-100,text,true,,1203,139,2,2,http://10.0.10.10:9966/petclinic/api/visits,10,0,1
1538059252836,5,HTTP Request,200,,UserRest - Load test 1-99,text,true,,1203,139,3,3,http://10.0.10.10:9966/petclinic/api/visits,5,0,0
1538059252837,5,HTTP Request,200,,UserRest - Load test 1-100,text,true,,1203,139,3,3,http://10.0.10.10:9966/petclinic/api/visits,5,0,4
1538059252841,11,HTTP Request,200,,UserRest - Load test 1-99,text,true,,1203,139,3,3,http://10.0.10.10:9966/petclinic/api/visits,11,0,1
1538059252839,13,HTTP Request,200,,UserRest - Load test 1-98,text,true,,1203,139,3,3,http://10.0.10.10:9966/petclinic/api/visits,13,0,2
1538059252842,11,HTTP Request,200,,UserRest - Load test 1-100,text,true,,1203,139,3,3,http://10.0.10.10:9966/petclinic/api/visits,11,0,9
1538059252852,2,HTTP Request,200,,UserRest - Load test 1-99,text,true,,1203,139,3,3,http://10.0.10.10:9966/petclinic/api/visits,2,0,0
1538059252852,3,HTTP Request,200,,UserRest - Load test 1-98,text,true,,1203,139,3,3,http://10.0.10.10:9966/petclinic/api/visits,3,0,1
1538059252854,2,HTTP Request,200,,UserRest - Load test 1-99,text,true,,1203,139,3,3,http://10.0.10.10:9966/petclinic/api/visits,2,0,1
1538059252853,4,HTTP Request,200,,UserRest - Load test 1-100,text,true,,1203,139,3,3,http://10.0.10.10:9966/petclinic/api/visits,4,0,1
