timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1538059253088,3,HTTP Request,200,,UserRest - Stress test 3-100,text,true,,1203,139,1,16,http://10.0.10.10:9966/petclinic/api/visits,3,0,0
1538059253098,12,HTTP Request,200,,UserRest - Stress test 3-100,text,true,,1203,139,1,17,http://10.0.10.10:9966/petclinic/api/visits,8,0,0
1538059253110,8,HTTP Request,200,,UserRest - Stress test 3-100,text,true,,1203,139,1,17,http://10.0.10.10:9966/petclinic/api/visits,8,0,0
1538059253118,6,HTTP Request,200,,UserRest - Stress test 3-100,text,true,,1203,139,1,18,http://10.0.10.10:9966/petclinic/api/visits,6,0,1
1538059253124,8,HTTP Request,200,,UserRest - Stress test 3-100,text,true,,1203,139,1,18,http://10.0.10.10:9966/petclinic/api/visits,8,0,1
1538059253132,4,HTTP Request,200,,UserRest - Stress test 3-100,text,true,,1203,139,1,18,http://10.0.10.10:9966/petclinic/api/visits,4,0,1
1538059253137,15,HTTP Request,200,,UserRest - Stress test 3-100,text,true,,1203,139,1,19,http://10.0.10.10:9966/petclinic/api/visits,15,0,0
1538059253153,11,HTTP Request,200,,UserRest - Stress test 3-100,text,true,,1203,139,1,20,http://10.0.10.10:9966/petclinic/api/visits,10,0,0
1538059253164,10,HTTP Request,200,,UserRest - Stress test 3-100,text,true,,1203,139,1,20,http://10.0.10.10:9966/petclinic/api/visits,8,0,0
1538059253174,15,HTTP Request,200,,UserRest - Stress test 3-100,text,true,,1203,139,1,21,http://10.0.10.10:9966/petclinic/api/visits,15,0,0
1538059253189,12,HTTP Request,200,,UserRest - Stress test 3-100,text,true,,1203,139,1,22,http://10.0.10.10:9966/petclinic/api/visits,12,0,0
1538059253201,24,HTTP Request,200,,UserRest - Stress test 3-100,text,true,,1203,139,1,23,http://10.0.10.10:9966/petclinic/api/visits,24,0,0
1538059253225,14,HTTP Request,200,,UserRest - Stress test 3-100,text,true,,1203,139,1,24,http://10.0.10.10:9966/petclinic/api/visits,14,0,0
1538059253239,16,HTTP Request,200,,UserRest - Stress test 3-100,text,true,,1203,139,1,24,http://10.0.10.10:9966/petclinic/api/visits,16,0,2
1538059253255,11,HTTP Request,200,,UserRest - Stress test 3-100,text,true,,1203,139,1,25,http://10.0.10.10:9966/petclinic/api/visits,11,0,3
1538059253267,21,HTTP Request,200,,UserRest - Stress test 3-100,text,true,,1203,139,1,26,http://10.0.10.10:9966/petclinic/api/visits,21,0,0
1538059253288,8,HTTP Request,200,,UserRest - Stress test 3-100,text,true,,1203,139,1,26,http://10.0.10.10:9966/petclinic/api/visits,8,0,1
1538059253296,6,HTTP Request,200,,UserRest - Stress test 3-100,text,true,,1203,139,1,27,http://10.0.10.10:9966/petclinic/api/visits,6,0,1
1538059253302,16,HTTP Request,200,,UserRest - Stress test 3-100,text,true,,1203,139,1,27,http://10.0.10.10:9966/petclinic/api/visits,16,0,1
1538059253318,13,HTTP Request,200,,UserRest - Stress test 3-100,text,true,,1203,139,1,28,http://10.0.10.10:9966/petclinic/api/visits,13,0,1
1538059253331,22,HTTP Request,200,,UserRest - Stress test 3-100,text,true,,1203,139,1,29,http://10.0.10.10:9966/petclinic/api/visits,22,0,3
1538059253353,7,HTTP Request,200,,UserRest - Stress test 3-100,text,true,,1203,139,1,30,http://10.0.10.10:9966/petclinic/api/visits,7,0,1
1538059253360,17,HTTP Request,200,,UserRest - Stress test 3-100,text,true,,1203,139,1,30,http://10.0.10.10:9966/petclinic/api/visits,17,0,0
1538059253377,16,HTTP Request,200,,UserRest - Stress test 3-100,text,true,,1203,139,2,32,http://10.0.10.10:9966/petclinic/api/visits,16,0,0
1538059253393,8,HTTP Request,200,,UserRest - Stress test 3-100,text,true,,1203,139,2,33,http://10.0.10.10:9966/petclinic/api/visits,7,0,0
1538059253388,27,HTTP Request,200,,UserRest - Stress test 3-99,text,true,,1203,139,2,33,http://10.0.10.10:9966/petclinic/api/visits,27,0,1
1538059253415,17,HTTP Request,200,,UserRest - Stress test 3-99,text,true,,1203,139,2,34,http://10.0.10.10:9966/petclinic/api/visits,17,0,1
1538059253401,37,HTTP Request,200,,UserRest - Stress test 3-100,text,true,,1203,139,2,34,http://10.0.10.10:9966/petclinic/api/visits,37,0,0
1538059253432,26,HTTP Request,200,,UserRest - Stress test 3-99,text,true,,1203,139,2,35,http://10.0.10.10:9966/petclinic/api/visits,26,0,1
1538059253438,25,HTTP Request,200,,UserRest - Stress test 3-100,text,true,,1203,139,2,36,http://10.0.10.10:9966/petclinic/api/visits,25,0,1
1538059253458,42,HTTP Request,200,,UserRest - Stress test 3-99,text,true,,1203,139,2,38,http://10.0.10.10:9966/petclinic/api/visits,42,0,1
1538059253463,39,HTTP Request,200,,UserRest - Stress test 3-100,text,true,,1203,139,2,38,http://10.0.10.10:9966/petclinic/api/visits,39,0,0
1538059253500,13,HTTP Request,200,,UserRest - Stress test 3-99,text,true,,1203,139,2,38,http://10.0.10.10:9966/petclinic/api/visits,12,0,0
1538059253502,17,HTTP Request,200,,UserRest - Stress test 3-100,text,true,,1203,139,2,39,http://10.0.10.10:9966/petclinic/api/visits,14,0,0
1538059253513,9,HTTP Request,200,,UserRest - Stress test 3-99,text,true,,1203,139,2,39,http://10.0.10.10:9966/petclinic/api/visits,9,0,0
1538059253519,10,HTTP Request,200,,UserRest - Stress test 3-100,text,true,,1203,139,2,39,http://10.0.10.10:9966/petclinic/api/visits,10,0,1
1538059253529,37,HTTP Request,200,,UserRest - Stress test 3-100,text,true,,1203,139,2,41,http://10.0.10.10:9966/petclinic/api/visits,36,0,1
1538059253522,57,HTTP Request,200,,UserRest - Stress test 3-99,text,true,,1203,139,2,42,http://10.0.10.10:9966/petclinic/api/visits,57,0,1
1538059253566,34,HTTP Request,200,,UserRest - Stress test 3-100,text,true,,1203,139,2,43,http://10.0.10.10:9966/petclinic/api/visits,33,0,1
1538059253579,36,HTTP Request,200,,UserRest - Stress test 3-99,text,true,,1203,139,2,43,http://10.0.10.10:9966/petclinic/api/visits,36,0,0
1538059253600,24,HTTP Request,200,,UserRest - Stress test 3-100,text,true,,1203,139,2,44,http://10.0.10.10:9966/petclinic/api/visits,24,0,1
1538059253615,17,HTTP Request,200,,UserRest - Stress test 3-99,text,true,,1203,139,2,44,http://10.0.10.10:9966/petclinic/api/visits,17,0,1
1538059253624,25,HTTP Request,200,,UserRest - Stress test 3-100,text,true,,1203,139,2,45,http://10.0.10.10:9966/petclinic/api/visits,25,0,1
1538059253649,36,HTTP Request,200,,UserRest - Stress test 3-100,text,true,,1203,139,2,47,http://10.0.10.10:9966/petclinic/api/visits,36,0,1
1538059253632,57,HTTP Request,200,,UserRest - Stress test 3-99,text,true,,1203,139,3,48,http://10.0.10.10:9966/petclinic/api/visits,57,0,1
1538059253689,18,HTTP Request,200,,UserRest - Stress test 3-99,text,true,,1203,139,3,49,http://10.0.10.10:9966/petclinic/api/visits,18,0,1
1538059253688,33,HTTP Request,200,,UserRest - Stress test 3-98,text,true,,1203,139,3,50,http://10.0.10.10:9966/petclinic/api/visits,33,0,1
1538059253721,13,HTTP Request,200,,UserRest - Stress test 3-98,text,true,,1203,139,3,50,http://10.0.10.10:9966/petclinic/api/visits,13,0,1
1538059253685,54,HTTP Request,200,,UserRest - Stress test 3-100,text,true,,1203,139,3,51,http://10.0.10.10:9966/petclinic/api/visits,54,0,0
1538059253708,38,HTTP Request,200,,UserRest - Stress test 3-99,text,true,,1203,139,3,51,http://10.0.10.10:9966/petclinic/api/visits,38,0,0
1538059253735,29,HTTP Request,200,,UserRest - Stress test 3-98,text,true,,1203,139,3,52,http://10.0.10.10:9966/petclinic/api/visits,29,0,0
1538059253746,25,HTTP Request,200,,UserRest - Stress test 3-99,text,true,,1203,139,3,52,http://10.0.10.10:9966/petclinic/api/visits,25,0,1
1538059253739,36,HTTP Request,200,,UserRest - Stress test 3-100,text,true,,1203,139,3,52,http://10.0.10.10:9966/petclinic/api/visits,36,0,1
1538059253771,21,HTTP Request,200,,UserRest - Stress test 3-99,text,true,,1203,139,3,53,http://10.0.10.10:9966/petclinic/api/visits,21,0,1
1538059253792,35,HTTP Request,200,,UserRest - Stress test 3-99,text,true,,1203,139,3,55,http://10.0.10.10:9966/petclinic/api/visits,35,0,1
1538059253764,68,HTTP Request,200,,UserRest - Stress test 3-98,text,true,,1203,139,3,55,http://10.0.10.10:9966/petclinic/api/visits,30,0,0
1538059253775,93,HTTP Request,200,,UserRest - Stress test 3-100,text,true,,1203,139,3,57,http://10.0.10.10:9966/petclinic/api/visits,92,0,1
1538059253832,36,HTTP Request,200,,UserRest - Stress test 3-98,text,true,,1203,139,3,57,http://10.0.10.10:9966/petclinic/api/visits,36,0,1
1538059253827,57,HTTP Request,200,,UserRest - Stress test 3-99,text,true,,1203,139,3,58,http://10.0.10.10:9966/petclinic/api/visits,57,0,3
1538059253868,29,HTTP Request,200,,UserRest - Stress test 3-98,text,true,,1203,139,3,58,http://10.0.10.10:9966/petclinic/api/visits,29,0,0
1538059253884,25,HTTP Request,200,,UserRest - Stress test 3-99,text,true,,1203,139,3,59,http://10.0.10.10:9966/petclinic/api/visits,25,0,0
1538059253910,22,HTTP Request,200,,UserRest - Stress test 3-99,text,true,,1203,139,3,60,http://10.0.10.10:9966/petclinic/api/visits,22,0,0
1538059253868,68,HTTP Request,200,,UserRest - Stress test 3-100,text,true,,1203,139,3,60,http://10.0.10.10:9966/petclinic/api/visits,68,0,1
1538059253932,23,HTTP Request,200,,UserRest - Stress test 3-99,text,true,,1203,139,3,61,http://10.0.10.10:9966/petclinic/api/visits,23,0,1
1538059253897,60,HTTP Request,200,,UserRest - Stress test 3-98,text,true,,1203,139,3,61,http://10.0.10.10:9966/petclinic/api/visits,60,0,1
1538059253936,25,HTTP Request,200,,UserRest - Stress test 3-100,text,true,,1203,139,3,62,http://10.0.10.10:9966/petclinic/api/visits,25,0,0
1538059253955,14,HTTP Request,200,,UserRest - Stress test 3-99,text,true,,1203,139,3,62,http://10.0.10.10:9966/petclinic/api/visits,14,0,1
1538059253969,9,HTTP Request,200,,UserRest - Stress test 3-99,text,true,,1203,139,3,62,http://10.0.10.10:9966/petclinic/api/visits,9,0,1
