timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1538059055698,185,HTTP Request,Non HTTP response code: java.net.BindException,Non HTTP response message: Address already in use: connect,UserRest - Spike test 2-100,text,false,,2531,0,19,86,http://10.0.10.10:9966/petclinic/api/visits/2,0,0,185
1538059055708,187,HTTP Request,Non HTTP response code: java.net.BindException,Non HTTP response message: Address already in use: connect,UserRest - Spike test 2-99,text,false,,2531,0,20,87,http://10.0.10.10:9966/petclinic/api/visits/2,0,0,187
1538059055718,186,HTTP Request,Non HTTP response code: java.net.BindException,Non HTTP response message: Address already in use: connect,UserRest - Spike test 2-98,text,false,,2531,0,21,88,http://10.0.10.10:9966/petclinic/api/visits/2,0,0,186
1538059055727,192,HTTP Request,Non HTTP response code: java.net.BindException,Non HTTP response message: Address already in use: connect,UserRest - Spike test 2-97,text,false,,2531,0,23,90,http://10.0.10.10:9966/petclinic/api/visits/2,0,0,192
1538059055738,196,HTTP Request,Non HTTP response code: java.net.BindException,Non HTTP response message: Address already in use: connect,UserRest - Spike test 2-96,text,false,,2531,0,24,91,http://10.0.10.10:9966/petclinic/api/visits/2,0,0,196
1538059055748,197,HTTP Request,Non HTTP response code: java.net.BindException,Non HTTP response message: Address already in use: connect,UserRest - Spike test 2-95,text,false,,2531,0,25,92,http://10.0.10.10:9966/petclinic/api/visits/2,0,0,197
1538059055758,196,HTTP Request,Non HTTP response code: java.net.BindException,Non HTTP response message: Address already in use: connect,UserRest - Spike test 2-94,text,false,,2531,0,26,93,http://10.0.10.10:9966/petclinic/api/visits/2,0,0,196
1538059055768,199,HTTP Request,Non HTTP response code: java.net.BindException,Non HTTP response message: Address already in use: connect,UserRest - Spike test 2-93,text,false,,2531,0,27,94,http://10.0.10.10:9966/petclinic/api/visits/2,0,0,199
1538059055777,194,HTTP Request,Non HTTP response code: java.net.BindException,Non HTTP response message: Address already in use: connect,UserRest - Spike test 2-92,text,false,,2531,0,28,95,http://10.0.10.10:9966/petclinic/api/visits/2,0,0,194
1538059055788,196,HTTP Request,Non HTTP response code: java.net.BindException,Non HTTP response message: Address already in use: connect,UserRest - Spike test 2-91,text,false,,2531,0,29,96,http://10.0.10.10:9966/petclinic/api/visits/2,0,0,196
1538059055798,188,HTTP Request,Non HTTP response code: java.net.BindException,Non HTTP response message: Address already in use: connect,UserRest - Spike test 2-90,text,false,,2531,0,30,97,http://10.0.10.10:9966/petclinic/api/visits/2,0,0,188
