timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1538058185757,198,HTTP Request,Non HTTP response code: java.net.BindException,Non HTTP response message: Address already in use: connect,UserRest - Spike test 2-100,text,false,,2531,0,20,87,http://10.0.10.10:9966/petclinic/api/owners/1,0,0,198
1538058185768,201,HTTP Request,Non HTTP response code: java.net.BindException,Non HTTP response message: Address already in use: connect,UserRest - Spike test 2-99,text,false,,2531,0,22,89,http://10.0.10.10:9966/petclinic/api/owners/1,0,0,201
1538058185778,206,HTTP Request,Non HTTP response code: java.net.BindException,Non HTTP response message: Address already in use: connect,UserRest - Spike test 2-98,text,false,,2531,0,23,90,http://10.0.10.10:9966/petclinic/api/owners/1,0,0,206
1538058185787,212,HTTP Request,Non HTTP response code: java.net.BindException,Non HTTP response message: Address already in use: connect,UserRest - Spike test 2-97,text,false,,2531,0,25,92,http://10.0.10.10:9966/petclinic/api/owners/1,0,0,212
1538058185797,218,HTTP Request,Non HTTP response code: java.net.BindException,Non HTTP response message: Address already in use: connect,UserRest - Spike test 2-96,text,false,,2531,0,26,93,http://10.0.10.10:9966/petclinic/api/owners/1,0,0,218
1538058185808,215,HTTP Request,Non HTTP response code: java.net.BindException,Non HTTP response message: Address already in use: connect,UserRest - Spike test 2-95,text,false,,2531,0,27,94,http://10.0.10.10:9966/petclinic/api/owners/1,0,0,215
1538058185818,210,HTTP Request,Non HTTP response code: java.net.BindException,Non HTTP response message: Address already in use: connect,UserRest - Spike test 2-94,text,false,,2531,0,28,95,http://10.0.10.10:9966/petclinic/api/owners/1,0,0,210
1538058185827,207,HTTP Request,Non HTTP response code: java.net.BindException,Non HTTP response message: Address already in use: connect,UserRest - Spike test 2-93,text,false,,2531,0,28,95,http://10.0.10.10:9966/petclinic/api/owners/1,0,0,207
1538058185837,210,HTTP Request,Non HTTP response code: java.net.BindException,Non HTTP response message: Address already in use: connect,UserRest - Spike test 2-92,text,false,,2531,0,29,96,http://10.0.10.10:9966/petclinic/api/owners/1,0,0,210
1538058185848,208,HTTP Request,Non HTTP response code: java.net.BindException,Non HTTP response message: Address already in use: connect,UserRest - Spike test 2-91,text,false,,2531,0,30,97,http://10.0.10.10:9966/petclinic/api/owners/1,0,0,208
1538058185858,221,HTTP Request,Non HTTP response code: java.net.BindException,Non HTTP response message: Address already in use: connect,UserRest - Spike test 2-90,text,false,,2531,0,33,100,http://10.0.10.10:9966/petclinic/api/owners/1,0,0,221
1538058185868,225,HTTP Request,Non HTTP response code: java.net.BindException,Non HTTP response message: Address already in use: connect,UserRest - Spike test 2-89,text,false,,2531,0,34,101,http://10.0.10.10:9966/petclinic/api/owners/1,0,0,225
1538058185877,220,HTTP Request,Non HTTP response code: java.net.BindException,Non HTTP response message: Address already in use: connect,UserRest - Spike test 2-88,text,false,,2531,0,34,101,http://10.0.10.10:9966/petclinic/api/owners/1,0,0,220
1538058185887,225,HTTP Request,Non HTTP response code: java.net.BindException,Non HTTP response message: Address already in use: connect,UserRest - Spike test 2-87,text,false,,2531,0,36,103,http://10.0.10.10:9966/petclinic/api/owners/1,0,0,225
1538058185898,230,HTTP Request,Non HTTP response code: java.net.BindException,Non HTTP response message: Address already in use: connect,UserRest - Spike test 2-86,text,false,,2531,0,38,105,http://10.0.10.10:9966/petclinic/api/owners/1,0,0,230
1538058185908,227,HTTP Request,Non HTTP response code: java.net.BindException,Non HTTP response message: Address already in use: connect,UserRest - Spike test 2-85,text,false,,2531,0,38,105,http://10.0.10.10:9966/petclinic/api/owners/1,0,0,227
1538058185917,245,HTTP Request,Non HTTP response code: java.net.BindException,Non HTTP response message: Address already in use: connect,UserRest - Spike test 2-84,text,false,,2531,0,41,109,http://10.0.10.10:9966/petclinic/api/owners/1,0,0,245
1538058185927,244,HTTP Request,Non HTTP response code: java.net.BindException,Non HTTP response message: Address already in use: connect,UserRest - Spike test 2-83,text,false,,2531,0,42,110,http://10.0.10.10:9966/petclinic/api/owners/1,0,0,244
1538058185938,272,HTTP Request,Non HTTP response code: java.net.BindException,Non HTTP response message: Address already in use: connect,UserRest - Spike test 2-82,text,false,,2531,0,46,114,http://10.0.10.10:9966/petclinic/api/owners/1,0,0,272
1538058185948,286,HTTP Request,Non HTTP response code: java.net.BindException,Non HTTP response message: Address already in use: connect,UserRest - Spike test 2-81,text,false,,2531,0,48,116,http://10.0.10.10:9966/petclinic/api/owners/1,0,0,286
1538058185956,283,HTTP Request,Non HTTP response code: java.net.BindException,Non HTTP response message: Address already in use: connect,UserRest - Spike test 2-100,text,false,,2531,0,49,117,http://10.0.10.10:9966/petclinic/api/owners/1,0,0,283
1538058185958,285,HTTP Request,Non HTTP response code: java.net.BindException,Non HTTP response message: Address already in use: connect,UserRest - Spike test 2-80,text,false,,2531,0,49,117,http://10.0.10.10:9966/petclinic/api/owners/1,0,0,285
1538058185967,293,HTTP Request,Non HTTP response code: java.net.BindException,Non HTTP response message: Address already in use: connect,UserRest - Spike test 2-79,text,false,,2531,0,51,119,http://10.0.10.10:9966/petclinic/api/owners/1,0,0,293
1538058185969,293,HTTP Request,Non HTTP response code: java.net.BindException,Non HTTP response message: Address already in use: connect,UserRest - Spike test 2-99,text,false,,2531,0,51,119,http://10.0.10.10:9966/petclinic/api/owners/1,0,0,293
1538058185978,290,HTTP Request,Non HTTP response code: java.net.BindException,Non HTTP response message: Address already in use: connect,UserRest - Spike test 2-78,text,false,,2531,0,52,120,http://10.0.10.10:9966/petclinic/api/owners/1,0,0,290
1538058185984,314,HTTP Request,Non HTTP response code: java.net.BindException,Non HTTP response message: Address already in use: connect,UserRest - Spike test 2-98,text,false,,2531,0,55,123,http://10.0.10.10:9966/petclinic/api/owners/1,0,0,314
1538058185988,312,HTTP Request,Non HTTP response code: java.net.BindException,Non HTTP response message: Address already in use: connect,UserRest - Spike test 2-77,text,false,,2531,0,55,123,http://10.0.10.10:9966/petclinic/api/owners/1,0,0,312
1538058185998,313,HTTP Request,Non HTTP response code: java.net.BindException,Non HTTP response message: Address already in use: connect,UserRest - Spike test 2-76,text,false,,2531,0,56,124,http://10.0.10.10:9966/petclinic/api/owners/1,0,0,313
1538058185999,316,HTTP Request,Non HTTP response code: java.net.BindException,Non HTTP response message: Address already in use: connect,UserRest - Spike test 2-97,text,false,,2531,0,56,124,http://10.0.10.10:9966/petclinic/api/owners/1,0,0,316
1538058186007,310,HTTP Request,Non HTTP response code: java.net.BindException,Non HTTP response message: Address already in use: connect,UserRest - Spike test 2-75,text,false,,2531,0,57,125,http://10.0.10.10:9966/petclinic/api/owners/1,0,0,310
1538058186015,307,HTTP Request,Non HTTP response code: java.net.BindException,Non HTTP response message: Address already in use: connect,UserRest - Spike test 2-96,text,false,,2531,0,57,125,http://10.0.10.10:9966/petclinic/api/owners/1,0,0,307
1538058186017,307,HTTP Request,Non HTTP response code: java.net.BindException,Non HTTP response message: Address already in use: connect,UserRest - Spike test 2-74,text,false,,2531,0,57,125,http://10.0.10.10:9966/petclinic/api/owners/1,0,0,307
1538058186023,310,HTTP Request,Non HTTP response code: java.net.BindException,Non HTTP response message: Address already in use: connect,UserRest - Spike test 2-95,text,false,,2531,0,58,126,http://10.0.10.10:9966/petclinic/api/owners/1,0,0,310
1538058186028,309,HTTP Request,Non HTTP response code: java.net.BindException,Non HTTP response message: Address already in use: connect,UserRest - Spike test 2-73,text,false,,2531,0,58,126,http://10.0.10.10:9966/petclinic/api/owners/1,0,0,309
