timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1538057899721,23,HTTP Request,200,,UserRest - Load test 1-100,text,true,,477,160,2,2,http://10.0.10.10:9966/petclinic/api/owners/*/lastname/Rodriquez,23,0,1
1538057899742,3,HTTP Request,200,,UserRest - Load test 1-99,text,true,,477,160,2,2,http://10.0.10.10:9966/petclinic/api/owners/*/lastname/Rodriquez,3,0,0
1538057899745,3,HTTP Request,200,,UserRest - Load test 1-100,text,true,,477,160,2,2,http://10.0.10.10:9966/petclinic/api/owners/*/lastname/Rodriquez,3,0,0
1538057899745,6,HTTP Request,200,,UserRest - Load test 1-99,text,true,,477,160,2,2,http://10.0.10.10:9966/petclinic/api/owners/*/lastname/Rodriquez,5,0,0
1538057899748,5,HTTP Request,200,,UserRest - Load test 1-100,text,true,,477,160,2,2,http://10.0.10.10:9966/petclinic/api/owners/*/lastname/Rodriquez,5,0,1
1538057899751,4,HTTP Request,200,,UserRest - Load test 1-99,text,true,,477,160,2,2,http://10.0.10.10:9966/petclinic/api/owners/*/lastname/Rodriquez,4,0,0
1538057899753,5,HTTP Request,200,,UserRest - Load test 1-100,text,true,,477,160,2,2,http://10.0.10.10:9966/petclinic/api/owners/*/lastname/Rodriquez,4,0,0
1538057899755,5,HTTP Request,200,,UserRest - Load test 1-99,text,true,,477,160,2,2,http://10.0.10.10:9966/petclinic/api/owners/*/lastname/Rodriquez,5,0,1
1538057899758,7,HTTP Request,200,,UserRest - Load test 1-100,text,true,,477,160,3,3,http://10.0.10.10:9966/petclinic/api/owners/*/lastname/Rodriquez,7,0,1
1538057899760,8,HTTP Request,200,,UserRest - Load test 1-99,text,true,,477,160,3,3,http://10.0.10.10:9966/petclinic/api/owners/*/lastname/Rodriquez,8,0,1
1538057899765,5,HTTP Request,200,,UserRest - Load test 1-100,text,true,,477,160,3,3,http://10.0.10.10:9966/petclinic/api/owners/*/lastname/Rodriquez,5,0,1
1538057899768,4,HTTP Request,200,,UserRest - Load test 1-99,text,true,,477,160,3,3,http://10.0.10.10:9966/petclinic/api/owners/*/lastname/Rodriquez,4,0,1
1538057899772,11,HTTP Request,200,,UserRest - Load test 1-99,text,true,,477,160,4,4,http://10.0.10.10:9966/petclinic/api/owners/*/lastname/Rodriquez,11,0,1
1538057899782,5,HTTP Request,200,,UserRest - Load test 1-97,text,true,,477,160,4,4,http://10.0.10.10:9966/petclinic/api/owners/*/lastname/Rodriquez,5,0,0
1538057899783,6,HTTP Request,200,,UserRest - Load test 1-99,text,true,,477,160,4,4,http://10.0.10.10:9966/petclinic/api/owners/*/lastname/Rodriquez,6,0,0
1538057899789,4,HTTP Request,200,,UserRest - Load test 1-99,text,true,,477,160,4,4,http://10.0.10.10:9966/petclinic/api/owners/*/lastname/Rodriquez,4,0,1
1538057899787,8,HTTP Request,200,,UserRest - Load test 1-97,text,true,,477,160,4,4,http://10.0.10.10:9966/petclinic/api/owners/*/lastname/Rodriquez,8,0,2
1538057899793,5,HTTP Request,200,,UserRest - Load test 1-99,text,true,,477,160,4,4,http://10.0.10.10:9966/petclinic/api/owners/*/lastname/Rodriquez,5,0,1
1538057899770,29,HTTP Request,200,,UserRest - Load test 1-100,text,true,,477,160,4,4,http://10.0.10.10:9966/petclinic/api/owners/*/lastname/Rodriquez,29,0,0
1538057899798,9,HTTP Request,200,,UserRest - Load test 1-99,text,true,,477,160,5,5,http://10.0.10.10:9966/petclinic/api/owners/*/lastname/Rodriquez,8,0,1
1538057899799,9,HTTP Request,200,,UserRest - Load test 1-100,text,true,,477,160,5,5,http://10.0.10.10:9966/petclinic/api/owners/*/lastname/Rodriquez,9,0,1
