timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1538057900012,45,HTTP Request,200,,UserRest - Stress test 3-100,text,true,,477,160,1,18,http://10.0.10.10:9966/petclinic/api/owners/*/lastname/Rodriquez,45,0,1
1538057900058,25,HTTP Request,200,,UserRest - Stress test 3-100,text,true,,477,160,1,20,http://10.0.10.10:9966/petclinic/api/owners/*/lastname/Rodriquez,25,0,1
1538057900083,17,HTTP Request,200,,UserRest - Stress test 3-100,text,true,,477,160,1,20,http://10.0.10.10:9966/petclinic/api/owners/*/lastname/Rodriquez,17,0,2
1538057900100,9,HTTP Request,200,,UserRest - Stress test 3-100,text,true,,477,160,1,21,http://10.0.10.10:9966/petclinic/api/owners/*/lastname/Rodriquez,9,0,0
1538057900109,38,HTTP Request,200,,UserRest - Stress test 3-100,text,true,,477,160,1,23,http://10.0.10.10:9966/petclinic/api/owners/*/lastname/Rodriquez,37,0,1
1538057900147,44,HTTP Request,200,,UserRest - Stress test 3-100,text,true,,477,160,1,25,http://10.0.10.10:9966/petclinic/api/owners/*/lastname/Rodriquez,44,0,0
1538057900191,37,HTTP Request,200,,UserRest - Stress test 3-100,text,true,,477,160,1,27,http://10.0.10.10:9966/petclinic/api/owners/*/lastname/Rodriquez,37,0,1
1538057900228,63,HTTP Request,200,,UserRest - Stress test 3-100,text,true,,477,160,1,30,http://10.0.10.10:9966/petclinic/api/owners/*/lastname/Rodriquez,63,0,2
1538057900292,46,HTTP Request,200,,UserRest - Stress test 3-100,text,true,,477,160,2,33,http://10.0.10.10:9966/petclinic/api/owners/*/lastname/Rodriquez,46,0,0
1538057900338,18,HTTP Request,200,,UserRest - Stress test 3-100,text,true,,477,160,2,34,http://10.0.10.10:9966/petclinic/api/owners/*/lastname/Rodriquez,18,0,0
1538057900313,51,HTTP Request,200,,UserRest - Stress test 3-99,text,true,,477,160,2,35,http://10.0.10.10:9966/petclinic/api/owners/*/lastname/Rodriquez,50,0,0
1538057900364,18,HTTP Request,200,,UserRest - Stress test 3-99,text,true,,477,160,2,36,http://10.0.10.10:9966/petclinic/api/owners/*/lastname/Rodriquez,18,0,1
1538057900382,29,HTTP Request,200,,UserRest - Stress test 3-99,text,true,,477,160,2,37,http://10.0.10.10:9966/petclinic/api/owners/*/lastname/Rodriquez,29,0,1
1538057900356,69,HTTP Request,200,,UserRest - Stress test 3-100,text,true,,477,160,2,38,http://10.0.10.10:9966/petclinic/api/owners/*/lastname/Rodriquez,69,0,1
1538057900411,34,HTTP Request,200,,UserRest - Stress test 3-99,text,true,,477,160,2,39,http://10.0.10.10:9966/petclinic/api/owners/*/lastname/Rodriquez,34,0,1
1538057900425,82,HTTP Request,200,,UserRest - Stress test 3-100,text,true,,477,160,2,42,http://10.0.10.10:9966/petclinic/api/owners/*/lastname/Rodriquez,82,0,2
1538057900445,73,HTTP Request,200,,UserRest - Stress test 3-99,text,true,,477,160,2,42,http://10.0.10.10:9966/petclinic/api/owners/*/lastname/Rodriquez,73,0,0
1538057900507,28,HTTP Request,200,,UserRest - Stress test 3-100,text,true,,477,160,2,43,http://10.0.10.10:9966/petclinic/api/owners/*/lastname/Rodriquez,28,0,1
1538057900518,41,HTTP Request,200,,UserRest - Stress test 3-99,text,true,,477,160,2,44,http://10.0.10.10:9966/petclinic/api/owners/*/lastname/Rodriquez,41,0,0
1538057900559,34,HTTP Request,200,,UserRest - Stress test 3-99,text,true,,477,160,2,46,http://10.0.10.10:9966/petclinic/api/owners/*/lastname/Rodriquez,33,0,1
1538057900535,78,HTTP Request,200,,UserRest - Stress test 3-100,text,true,,477,160,3,48,http://10.0.10.10:9966/petclinic/api/owners/*/lastname/Rodriquez,77,0,0
1538057900613,27,HTTP Request,200,,UserRest - Stress test 3-100,text,true,,477,160,3,49,http://10.0.10.10:9966/petclinic/api/owners/*/lastname/Rodriquez,27,0,3
1538057900640,14,HTTP Request,200,,UserRest - Stress test 3-100,text,true,,477,160,3,50,http://10.0.10.10:9966/petclinic/api/owners/*/lastname/Rodriquez,14,0,1
1538057900654,71,HTTP Request,200,,UserRest - Stress test 3-100,text,true,,477,160,3,54,http://10.0.10.10:9966/petclinic/api/owners/*/lastname/Rodriquez,71,0,1
1538057900613,113,HTTP Request,200,,UserRest - Stress test 3-98,text,true,,477,160,3,54,http://10.0.10.10:9966/petclinic/api/owners/*/lastname/Rodriquez,113,0,0
1538057900727,25,HTTP Request,200,,UserRest - Stress test 3-98,text,true,,477,160,3,55,http://10.0.10.10:9966/petclinic/api/owners/*/lastname/Rodriquez,25,0,1
1538057900752,36,HTTP Request,200,,UserRest - Stress test 3-98,text,true,,477,160,3,57,http://10.0.10.10:9966/petclinic/api/owners/*/lastname/Rodriquez,36,0,1
1538057900725,71,HTTP Request,200,,UserRest - Stress test 3-100,text,true,,477,160,3,57,http://10.0.10.10:9966/petclinic/api/owners/*/lastname/Rodriquez,71,0,3
1538057900593,205,HTTP Request,200,,UserRest - Stress test 3-99,text,true,,477,160,3,57,http://10.0.10.10:9966/petclinic/api/owners/*/lastname/Rodriquez,205,0,0
1538057900798,22,HTTP Request,200,,UserRest - Stress test 3-99,text,true,,477,160,3,58,http://10.0.10.10:9966/petclinic/api/owners/*/lastname/Rodriquez,22,0,0
1538057900821,22,HTTP Request,200,,UserRest - Stress test 3-99,text,true,,477,160,3,60,http://10.0.10.10:9966/petclinic/api/owners/*/lastname/Rodriquez,22,0,0
1538057900797,57,HTTP Request,200,,UserRest - Stress test 3-100,text,true,,477,160,3,60,http://10.0.10.10:9966/petclinic/api/owners/*/lastname/Rodriquez,57,0,0
1538057900788,68,HTTP Request,200,,UserRest - Stress test 3-98,text,true,,477,160,3,60,http://10.0.10.10:9966/petclinic/api/owners/*/lastname/Rodriquez,67,0,0
1538057900854,40,HTTP Request,200,,UserRest - Stress test 3-100,text,true,,477,160,3,62,http://10.0.10.10:9966/petclinic/api/owners/*/lastname/Rodriquez,39,0,1
1538057900856,73,HTTP Request,200,,UserRest - Stress test 3-98,text,true,,477,160,4,65,http://10.0.10.10:9966/petclinic/api/owners/*/lastname/Rodriquez,73,0,0
1538057900843,89,HTTP Request,200,,UserRest - Stress test 3-99,text,true,,477,160,4,65,http://10.0.10.10:9966/petclinic/api/owners/*/lastname/Rodriquez,88,0,1
1538057900913,116,HTTP Request,200,,UserRest - Stress test 3-97,text,true,,477,160,4,70,http://10.0.10.10:9966/petclinic/api/owners/*/lastname/Rodriquez,116,0,1
1538057900932,110,HTTP Request,200,,UserRest - Stress test 3-99,text,true,,477,160,4,71,http://10.0.10.10:9966/petclinic/api/owners/*/lastname/Rodriquez,110,0,0
1538057900929,138,HTTP Request,200,,UserRest - Stress test 3-98,text,true,,477,160,4,72,http://10.0.10.10:9966/petclinic/api/owners/*/lastname/Rodriquez,138,0,2
1538057901043,50,HTTP Request,200,,UserRest - Stress test 3-99,text,true,,477,160,4,73,http://10.0.10.10:9966/petclinic/api/owners/*/lastname/Rodriquez,46,0,0
1538057901030,112,HTTP Request,200,,UserRest - Stress test 3-97,text,true,,477,160,4,76,http://10.0.10.10:9966/petclinic/api/owners/*/lastname/Rodriquez,112,0,0
1538057901067,84,HTTP Request,200,,UserRest - Stress test 3-98,text,true,,477,160,4,76,http://10.0.10.10:9966/petclinic/api/owners/*/lastname/Rodriquez,84,0,1
1538057901151,125,HTTP Request,200,,UserRest - Stress test 3-98,text,true,,477,160,5,83,http://10.0.10.10:9966/petclinic/api/owners/*/lastname/Rodriquez,125,0,1
1538057901213,98,HTTP Request,200,,UserRest - Stress test 3-96,text,true,,477,160,5,85,http://10.0.10.10:9966/petclinic/api/owners/*/lastname/Rodriquez,98,0,0
1538057901311,105,HTTP Request,200,,UserRest - Stress test 3-96,text,true,,477,160,5,90,http://10.0.10.10:9966/petclinic/api/owners/*/lastname/Rodriquez,105,0,1
1538057901276,168,HTTP Request,200,,UserRest - Stress test 3-98,text,true,,477,160,5,92,http://10.0.10.10:9966/petclinic/api/owners/*/lastname/Rodriquez,118,0,0
1538057901416,59,HTTP Request,200,,UserRest - Stress test 3-96,text,true,,477,160,5,93,http://10.0.10.10:9966/petclinic/api/owners/*/lastname/Rodriquez,58,0,1
1538057901142,348,HTTP Request,200,,UserRest - Stress test 3-97,text,true,,477,160,5,94,http://10.0.10.10:9966/petclinic/api/owners/*/lastname/Rodriquez,348,0,1
1538057901475,29,HTTP Request,200,,UserRest - Stress test 3-96,text,true,,477,160,5,95,http://10.0.10.10:9966/petclinic/api/owners/*/lastname/Rodriquez,29,0,0
1538057901490,16,HTTP Request,200,,UserRest - Stress test 3-97,text,true,,477,160,5,95,http://10.0.10.10:9966/petclinic/api/owners/*/lastname/Rodriquez,16,0,1
