timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1538058548658,13,HTTP Request,200,,UserRest - Load test 1-100,text,true,,304,141,1,1,http://10.0.10.10:9966/petclinic/api/pettypes,13,0,0
1538058548676,2,HTTP Request,200,,UserRest - Load test 1-100,text,true,,304,141,2,2,http://10.0.10.10:9966/petclinic/api/pettypes,2,0,0
1538058548677,1,HTTP Request,200,,UserRest - Load test 1-99,text,true,,304,141,2,2,http://10.0.10.10:9966/petclinic/api/pettypes,1,0,0
1538058548679,1,HTTP Request,200,,UserRest - Load test 1-99,text,true,,304,141,2,2,http://10.0.10.10:9966/petclinic/api/pettypes,1,0,0
1538058548678,3,HTTP Request,200,,UserRest - Load test 1-100,text,true,,304,141,2,2,http://10.0.10.10:9966/petclinic/api/pettypes,3,0,1
1538058548680,2,HTTP Request,200,,UserRest - Load test 1-99,text,true,,304,141,2,2,http://10.0.10.10:9966/petclinic/api/pettypes,2,0,1
1538058548682,1,HTTP Request,200,,UserRest - Load test 1-99,text,true,,304,141,2,2,http://10.0.10.10:9966/petclinic/api/pettypes,1,0,0
1538058548681,3,HTTP Request,200,,UserRest - Load test 1-100,text,true,,304,141,2,2,http://10.0.10.10:9966/petclinic/api/pettypes,3,0,1
1538058548683,2,HTTP Request,200,,UserRest - Load test 1-99,text,true,,304,141,2,2,http://10.0.10.10:9966/petclinic/api/pettypes,2,0,1
1538058548685,1,HTTP Request,200,,UserRest - Load test 1-100,text,true,,304,141,2,2,http://10.0.10.10:9966/petclinic/api/pettypes,1,0,0
1538058548685,3,HTTP Request,200,,UserRest - Load test 1-99,text,true,,304,141,2,2,http://10.0.10.10:9966/petclinic/api/pettypes,3,0,0
1538058548686,2,HTTP Request,200,,UserRest - Load test 1-100,text,true,,304,141,2,2,http://10.0.10.10:9966/petclinic/api/pettypes,2,0,1
1538058548688,4,HTTP Request,200,,UserRest - Load test 1-99,text,true,,304,141,2,2,http://10.0.10.10:9966/petclinic/api/pettypes,4,0,1
1538058548688,4,HTTP Request,200,,UserRest - Load test 1-100,text,true,,304,141,2,2,http://10.0.10.10:9966/petclinic/api/pettypes,4,0,1
1538058548692,1,HTTP Request,200,,UserRest - Load test 1-99,text,true,,304,141,2,2,http://10.0.10.10:9966/petclinic/api/pettypes,1,0,1
1538058548692,1,HTTP Request,200,,UserRest - Load test 1-100,text,true,,304,141,2,2,http://10.0.10.10:9966/petclinic/api/pettypes,1,0,0
1538058548694,1,HTTP Request,200,,UserRest - Load test 1-100,text,true,,304,141,2,2,http://10.0.10.10:9966/petclinic/api/pettypes,1,0,0
1538058548694,1,HTTP Request,200,,UserRest - Load test 1-99,text,true,,304,141,2,2,http://10.0.10.10:9966/petclinic/api/pettypes,1,0,0
1538058548695,4,HTTP Request,200,,UserRest - Load test 1-99,text,true,,304,141,3,3,http://10.0.10.10:9966/petclinic/api/pettypes,4,0,3
1538058548698,2,HTTP Request,200,,UserRest - Load test 1-98,text,true,,304,141,3,3,http://10.0.10.10:9966/petclinic/api/pettypes,2,0,0
