timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1538058755537,25,HTTP Request,200,,UserRest - Load test 1-100,text,true,,160,143,2,2,http://10.0.10.10:9966/petclinic/api/pettypes/2,25,0,0
1538058755556,6,HTTP Request,200,,UserRest - Load test 1-99,text,true,,160,143,2,2,http://10.0.10.10:9966/petclinic/api/pettypes/2,6,0,1
1538058755568,1,HTTP Request,200,,UserRest - Load test 1-100,text,true,,160,143,2,2,http://10.0.10.10:9966/petclinic/api/pettypes/2,1,0,0
1538058755568,2,HTTP Request,200,,UserRest - Load test 1-99,text,true,,160,143,2,2,http://10.0.10.10:9966/petclinic/api/pettypes/2,2,0,0
1538058755569,3,HTTP Request,200,,UserRest - Load test 1-100,text,true,,160,143,2,2,http://10.0.10.10:9966/petclinic/api/pettypes/2,3,0,1
1538058755571,1,HTTP Request,200,,UserRest - Load test 1-99,text,true,,160,143,2,2,http://10.0.10.10:9966/petclinic/api/pettypes/2,1,0,0
1538058755572,2,HTTP Request,200,,UserRest - Load test 1-100,text,true,,160,143,2,2,http://10.0.10.10:9966/petclinic/api/pettypes/2,2,0,1
1538058755573,2,HTTP Request,200,,UserRest - Load test 1-99,text,true,,160,143,2,2,http://10.0.10.10:9966/petclinic/api/pettypes/2,2,0,0
1538058755574,2,HTTP Request,200,,UserRest - Load test 1-100,text,true,,160,143,2,2,http://10.0.10.10:9966/petclinic/api/pettypes/2,2,0,1
1538058755575,2,HTTP Request,200,,UserRest - Load test 1-99,text,true,,160,143,3,3,http://10.0.10.10:9966/petclinic/api/pettypes/2,2,0,0
1538058755576,2,HTTP Request,200,,UserRest - Load test 1-98,text,true,,160,143,3,3,http://10.0.10.10:9966/petclinic/api/pettypes/2,2,0,1
1538058755576,3,HTTP Request,200,,UserRest - Load test 1-100,text,true,,160,143,3,3,http://10.0.10.10:9966/petclinic/api/pettypes/2,3,0,1
1538058755578,2,HTTP Request,200,,UserRest - Load test 1-99,text,true,,160,143,3,3,http://10.0.10.10:9966/petclinic/api/pettypes/2,2,0,0
1538058755578,3,HTTP Request,200,,UserRest - Load test 1-98,text,true,,160,143,3,3,http://10.0.10.10:9966/petclinic/api/pettypes/2,3,0,0
1538058755579,3,HTTP Request,200,,UserRest - Load test 1-100,text,true,,160,143,3,3,http://10.0.10.10:9966/petclinic/api/pettypes/2,3,0,0
1538058755580,3,HTTP Request,200,,UserRest - Load test 1-99,text,true,,160,143,3,3,http://10.0.10.10:9966/petclinic/api/pettypes/2,3,0,0
1538058755582,2,HTTP Request,200,,UserRest - Load test 1-100,text,true,,160,143,3,3,http://10.0.10.10:9966/petclinic/api/pettypes/2,2,0,0
1538058755581,4,HTTP Request,200,,UserRest - Load test 1-98,text,true,,160,143,3,3,http://10.0.10.10:9966/petclinic/api/pettypes/2,3,0,1
1538058755583,2,HTTP Request,200,,UserRest - Load test 1-99,text,true,,160,143,3,3,http://10.0.10.10:9966/petclinic/api/pettypes/2,2,0,0
1538058755584,2,HTTP Request,200,,UserRest - Load test 1-100,text,true,,160,143,3,3,http://10.0.10.10:9966/petclinic/api/pettypes/2,2,0,1
1538058755585,3,HTTP Request,200,,UserRest - Load test 1-98,text,true,,160,143,3,3,http://10.0.10.10:9966/petclinic/api/pettypes/2,3,0,0
1538058755587,1,HTTP Request,200,,UserRest - Load test 1-100,text,true,,160,143,3,3,http://10.0.10.10:9966/petclinic/api/pettypes/2,1,0,0
1538058755585,4,HTTP Request,200,,UserRest - Load test 1-99,text,true,,160,143,3,3,http://10.0.10.10:9966/petclinic/api/pettypes/2,3,0,0
1538058755588,2,HTTP Request,200,,UserRest - Load test 1-98,text,true,,160,143,3,3,http://10.0.10.10:9966/petclinic/api/pettypes/2,2,0,1
1538058755588,3,HTTP Request,200,,UserRest - Load test 1-100,text,true,,160,143,3,3,http://10.0.10.10:9966/petclinic/api/pettypes/2,3,0,1
1538058755589,3,HTTP Request,200,,UserRest - Load test 1-99,text,true,,160,143,3,3,http://10.0.10.10:9966/petclinic/api/pettypes/2,3,0,0
1538058755590,2,HTTP Request,200,,UserRest - Load test 1-98,text,true,,160,143,3,3,http://10.0.10.10:9966/petclinic/api/pettypes/2,2,0,0
1538058755591,6,HTTP Request,200,,UserRest - Load test 1-100,text,true,,160,143,4,4,http://10.0.10.10:9966/petclinic/api/pettypes/2,6,0,0
1538058755592,6,HTTP Request,200,,UserRest - Load test 1-99,text,true,,160,143,4,4,http://10.0.10.10:9966/petclinic/api/pettypes/2,6,0,0
1538058755596,2,HTTP Request,200,,UserRest - Load test 1-97,text,true,,160,143,4,4,http://10.0.10.10:9966/petclinic/api/pettypes/2,2,0,1
1538058755592,6,HTTP Request,200,,UserRest - Load test 1-98,text,true,,160,143,4,4,http://10.0.10.10:9966/petclinic/api/pettypes/2,6,0,1
1538058755597,5,HTTP Request,200,,UserRest - Load test 1-100,text,true,,160,143,4,4,http://10.0.10.10:9966/petclinic/api/pettypes/2,5,0,1
1538058755598,6,HTTP Request,200,,UserRest - Load test 1-99,text,true,,160,143,4,4,http://10.0.10.10:9966/petclinic/api/pettypes/2,6,0,3
1538058755598,6,HTTP Request,200,,UserRest - Load test 1-98,text,true,,160,143,4,4,http://10.0.10.10:9966/petclinic/api/pettypes/2,6,0,3
1538058755598,7,HTTP Request,200,,UserRest - Load test 1-97,text,true,,160,143,4,4,http://10.0.10.10:9966/petclinic/api/pettypes/2,7,0,3
1538058755604,2,HTTP Request,200,,UserRest - Load test 1-99,text,true,,160,143,4,4,http://10.0.10.10:9966/petclinic/api/pettypes/2,2,0,0
1538058755604,3,HTTP Request,200,,UserRest - Load test 1-98,text,true,,160,143,4,4,http://10.0.10.10:9966/petclinic/api/pettypes/2,3,0,1
1538058755602,5,HTTP Request,200,,UserRest - Load test 1-100,text,true,,160,143,4,4,http://10.0.10.10:9966/petclinic/api/pettypes/2,5,0,2
1538058755606,11,HTTP Request,200,,UserRest - Load test 1-99,text,true,,160,143,5,5,http://10.0.10.10:9966/petclinic/api/pettypes/2,11,0,1
1538058755607,11,HTTP Request,200,,UserRest - Load test 1-100,text,true,,160,143,5,5,http://10.0.10.10:9966/petclinic/api/pettypes/2,11,0,0
1538058755605,14,HTTP Request,200,,UserRest - Load test 1-97,text,true,,160,143,5,5,http://10.0.10.10:9966/petclinic/api/pettypes/2,13,0,1
1538058755617,2,HTTP Request,200,,UserRest - Load test 1-96,text,true,,160,143,5,5,http://10.0.10.10:9966/petclinic/api/pettypes/2,2,0,0
1538058755607,13,HTTP Request,200,,UserRest - Load test 1-98,text,true,,160,143,5,5,http://10.0.10.10:9966/petclinic/api/pettypes/2,12,0,0
1538058755617,4,HTTP Request,200,,UserRest - Load test 1-99,text,true,,160,143,5,5,http://10.0.10.10:9966/petclinic/api/pettypes/2,4,0,0
1538058755619,3,HTTP Request,200,,UserRest - Load test 1-97,text,true,,160,143,5,5,http://10.0.10.10:9966/petclinic/api/pettypes/2,3,0,1
1538058755618,4,HTTP Request,200,,UserRest - Load test 1-100,text,true,,160,143,5,5,http://10.0.10.10:9966/petclinic/api/pettypes/2,4,0,1
1538058755619,4,HTTP Request,200,,UserRest - Load test 1-96,text,true,,160,143,5,5,http://10.0.10.10:9966/petclinic/api/pettypes/2,4,0,1
1538058755622,3,HTTP Request,200,,UserRest - Load test 1-100,text,true,,160,143,5,5,http://10.0.10.10:9966/petclinic/api/pettypes/2,3,0,1
1538058755621,4,HTTP Request,200,,UserRest - Load test 1-98,text,true,,160,143,5,5,http://10.0.10.10:9966/petclinic/api/pettypes/2,4,0,0
1538058755621,5,HTTP Request,200,,UserRest - Load test 1-99,text,true,,160,143,5,5,http://10.0.10.10:9966/petclinic/api/pettypes/2,4,0,1
1538058755622,4,HTTP Request,200,,UserRest - Load test 1-97,text,true,,160,143,5,5,http://10.0.10.10:9966/petclinic/api/pettypes/2,4,0,1
1538058755625,3,HTTP Request,200,,UserRest - Load test 1-100,text,true,,160,143,5,5,http://10.0.10.10:9966/petclinic/api/pettypes/2,3,0,0
1538058755624,5,HTTP Request,200,,UserRest - Load test 1-96,text,true,,160,143,5,5,http://10.0.10.10:9966/petclinic/api/pettypes/2,5,0,0
1538058755626,3,HTTP Request,200,,UserRest - Load test 1-97,text,true,,160,143,5,5,http://10.0.10.10:9966/petclinic/api/pettypes/2,3,0,1
1538058755626,4,HTTP Request,200,,UserRest - Load test 1-99,text,true,,160,143,5,5,http://10.0.10.10:9966/petclinic/api/pettypes/2,4,0,1
1538058755625,8,HTTP Request,200,,UserRest - Load test 1-98,text,true,,160,143,5,5,http://10.0.10.10:9966/petclinic/api/pettypes/2,8,0,2
1538058755628,5,HTTP Request,200,,UserRest - Load test 1-100,text,true,,160,143,5,5,http://10.0.10.10:9966/petclinic/api/pettypes/2,5,0,0
1538058755630,4,HTTP Request,200,,UserRest - Load test 1-99,text,true,,160,143,5,5,http://10.0.10.10:9966/petclinic/api/pettypes/2,4,0,2
1538058755629,6,HTTP Request,200,,UserRest - Load test 1-97,text,true,,160,143,5,5,http://10.0.10.10:9966/petclinic/api/pettypes/2,6,0,3
1538058755634,2,HTTP Request,200,,UserRest - Load test 1-98,text,true,,160,143,6,6,http://10.0.10.10:9966/petclinic/api/pettypes/2,2,0,0
1538058755634,3,HTTP Request,200,,UserRest - Load test 1-100,text,true,,160,143,6,6,http://10.0.10.10:9966/petclinic/api/pettypes/2,3,0,0
1538058755634,4,HTTP Request,200,,UserRest - Load test 1-99,text,true,,160,143,6,6,http://10.0.10.10:9966/petclinic/api/pettypes/2,4,0,1
1538058755629,11,HTTP Request,200,,UserRest - Load test 1-96,text,true,,160,143,6,6,http://10.0.10.10:9966/petclinic/api/pettypes/2,11,0,3
1538058755635,8,HTTP Request,200,,UserRest - Load test 1-97,text,true,,160,143,6,6,http://10.0.10.10:9966/petclinic/api/pettypes/2,7,0,1
1538058755639,4,HTTP Request,200,,UserRest - Load test 1-99,text,true,,160,143,6,6,http://10.0.10.10:9966/petclinic/api/pettypes/2,4,0,0
