timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1538059272799,38,HTTP Request,Non HTTP response code: java.net.BindException,Non HTTP response message: Address already in use: connect,UserRest - Spike test 2-100,text,false,,2531,0,2,68,http://10.0.10.10:9966/petclinic/api/visits,0,0,38
1538059272809,81,HTTP Request,Non HTTP response code: java.net.BindException,Non HTTP response message: Address already in use: connect,UserRest - Spike test 2-99,text,false,,2531,0,10,77,http://10.0.10.10:9966/petclinic/api/visits,0,0,81
1538059272847,199,HTTP Request,Non HTTP response code: java.net.BindException,Non HTTP response message: Address already in use: connect,UserRest - Spike test 2-98,text,false,,2531,0,26,93,http://10.0.10.10:9966/petclinic/api/visits,0,0,199
1538059272847,202,HTTP Request,Non HTTP response code: java.net.BindException,Non HTTP response message: Address already in use: connect,UserRest - Spike test 2-96,text,false,,2531,0,26,93,http://10.0.10.10:9966/petclinic/api/visits,0,0,202
1538059272847,204,HTTP Request,Non HTTP response code: java.net.BindException,Non HTTP response message: Address already in use: connect,UserRest - Spike test 2-100,text,false,,2531,0,26,93,http://10.0.10.10:9966/petclinic/api/visits,0,0,204
1538059272847,206,HTTP Request,Non HTTP response code: java.net.BindException,Non HTTP response message: Address already in use: connect,UserRest - Spike test 2-97,text,false,,2531,0,26,93,http://10.0.10.10:9966/petclinic/api/visits,0,0,205
1538059272847,209,HTTP Request,Non HTTP response code: java.net.BindException,Non HTTP response message: Address already in use: connect,UserRest - Spike test 2-95,text,false,,2531,0,27,94,http://10.0.10.10:9966/petclinic/api/visits,0,0,209
1538059272854,207,HTTP Request,Non HTTP response code: java.net.BindException,Non HTTP response message: Address already in use: connect,UserRest - Spike test 2-94,text,false,,2531,0,27,94,http://10.0.10.10:9966/petclinic/api/visits,0,0,207
1538059272864,205,HTTP Request,Non HTTP response code: java.net.BindException,Non HTTP response message: Address already in use: connect,UserRest - Spike test 2-93,text,false,,2531,0,28,95,http://10.0.10.10:9966/petclinic/api/visits,0,0,205
1538059272874,210,HTTP Request,Non HTTP response code: java.net.BindException,Non HTTP response message: Address already in use: connect,UserRest - Spike test 2-92,text,false,,2531,0,30,97,http://10.0.10.10:9966/petclinic/api/visits,0,0,210
1538059272883,208,HTTP Request,Non HTTP response code: java.net.BindException,Non HTTP response message: Address already in use: connect,UserRest - Spike test 2-91,text,false,,2531,0,30,97,http://10.0.10.10:9966/petclinic/api/visits,0,0,208
1538059272889,222,HTTP Request,Non HTTP response code: java.net.BindException,Non HTTP response message: Address already in use: connect,UserRest - Spike test 2-99,text,false,,2531,0,32,99,http://10.0.10.10:9966/petclinic/api/visits,0,0,222
1538059272894,219,HTTP Request,Non HTTP response code: java.net.BindException,Non HTTP response message: Address already in use: connect,UserRest - Spike test 2-90,text,false,,2531,0,32,99,http://10.0.10.10:9966/petclinic/api/visits,0,0,219
1538059272904,218,HTTP Request,Non HTTP response code: java.net.BindException,Non HTTP response message: Address already in use: connect,UserRest - Spike test 2-89,text,false,,2531,0,33,100,http://10.0.10.10:9966/petclinic/api/visits,0,0,218
1538059272914,220,HTTP Request,Non HTTP response code: java.net.BindException,Non HTTP response message: Address already in use: connect,UserRest - Spike test 2-88,text,false,,2531,0,35,102,http://10.0.10.10:9966/petclinic/api/visits,0,0,220
1538059272924,218,HTTP Request,Non HTTP response code: java.net.BindException,Non HTTP response message: Address already in use: connect,UserRest - Spike test 2-87,text,false,,2531,0,35,102,http://10.0.10.10:9966/petclinic/api/visits,0,0,218
1538059272934,218,HTTP Request,Non HTTP response code: java.net.BindException,Non HTTP response message: Address already in use: connect,UserRest - Spike test 2-86,text,false,,2531,0,36,103,http://10.0.10.10:9966/petclinic/api/visits,0,0,218
1538059272944,221,HTTP Request,Non HTTP response code: java.net.BindException,Non HTTP response message: Address already in use: connect,UserRest - Spike test 2-85,text,false,,2531,0,38,105,http://10.0.10.10:9966/petclinic/api/visits,0,0,221
1538059272954,226,HTTP Request,Non HTTP response code: java.net.BindException,Non HTTP response message: Address already in use: connect,UserRest - Spike test 2-84,text,false,,2531,0,39,106,http://10.0.10.10:9966/petclinic/api/visits,0,0,226
1538059272964,225,HTTP Request,Non HTTP response code: java.net.BindException,Non HTTP response message: Address already in use: connect,UserRest - Spike test 2-83,text,false,,2531,0,40,108,http://10.0.10.10:9966/petclinic/api/visits,0,0,225
1538059272974,235,HTTP Request,Non HTTP response code: java.net.BindException,Non HTTP response message: Address already in use: connect,UserRest - Spike test 2-82,text,false,,2531,0,42,110,http://10.0.10.10:9966/petclinic/api/visits,0,0,235
1538059272984,229,HTTP Request,Non HTTP response code: java.net.BindException,Non HTTP response message: Address already in use: connect,UserRest - Spike test 2-81,text,false,,2531,0,42,110,http://10.0.10.10:9966/petclinic/api/visits,0,0,229
